relationship,count
"('Gilbert Gottfried', 'Harry Shearer')",20
"('Gilbert Gottfried', 'Jason Sudeikis')",21
"('Gilbert Gottfried', 'Jim Belushi')",24
"('Gilbert Gottfried', 'Joe Piscopo')",19
"('Gilbert Gottfried', 'Kate McKinnon')",12
"('Gilbert Gottfried', 'Michael McKean')",32
"('Gilbert Gottfried', 'Natasha Rothwell')",5
"('Gilbert Gottfried', 'Stephen Colbert')",29
"('Harry Shearer', 'Jason Sudeikis')",24
"('Harry Shearer', 'Jim Belushi')",22
"('Harry Shearer', 'Joe Piscopo')",14
"('Harry Shearer', 'Kate McKinnon')",13
"('Harry Shearer', 'Natasha Rothwell')",4
